application,body,U_inf_mps,Re,u_tau_mps,shape,spacing_um,h_over_s,s_plus,lg_plus,DR_friction_pct,in_band
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,u-groove,150,0.5,15.374,8.878,4.177,True
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,blade,200,0.5,20.498,14.127,7.646,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,scalloped,200,0.5,20.498,11.227,5.831,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,v-groove,200,0.5,20.498,10.249,5.436,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,u-groove,200,0.5,20.498,11.838,4.761,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,blade,300,0.5,30.747,21.191,0.25,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,scalloped,300,0.5,30.747,16.841,3.059,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,v-groove,300,0.5,30.747,15.374,3.742,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,u-groove,300,0.5,30.747,17.756,2.104,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,blade,400,0.5,40.997,28.255,-8.943,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,scalloped,400,0.5,40.997,22.455,-0.773,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,v-groove,400,0.5,40.997,20.498,0.614,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,u-groove,400,0.5,40.997,23.675,-1.434,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,blade,600,0.5,61.495,42.382,-30.698,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,scalloped,600,0.5,61.495,33.682,-10.124,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,v-groove,600,0.5,61.495,30.747,-7.162,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,u-groove,600,0.5,61.495,35.513,-9.991,False
