application,body,U_inf_mps,Re,u_tau_mps,shape,spacing_um,h_over_s,s_plus,lg_plus,DR_friction_pct,in_band
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,blade,20,0.5,0.84,0.579,0.536,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,scalloped,20,0.5,0.84,0.46,0.256,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,v-groove,20,0.5,0.84,0.42,0.223,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,u-groove,20,0.5,0.84,0.485,0.228,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,blade,30,0.5,1.26,0.868,0.803,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,scalloped,30,0.5,1.26,0.69,0.384,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,v-groove,30,0.5,1.26,0.63,0.334,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,u-groove,30,0.5,1.26,0.728,0.342,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,blade,40,0.5,1.68,1.158,1.071,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,scalloped,40,0.5,1.68,0.92,0.512,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,v-groove,40,0.5,1.68,0.84,0.445,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,u-groove,40,0.5,1.68,0.97,0.456,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,blade,50,0.5,2.1,1.447,1.339,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,scalloped,50,0.5,2.1,1.15,0.639,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,v-groove,50,0.5,2.1,1.05,0.557,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,u-groove,50,0.5,2.1,1.213,0.571,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,blade,60,0.5,2.52,1.737,1.607,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,scalloped,60,0.5,2.52,1.38,0.767,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,v-groove,60,0.5,2.52,1.26,0.668,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,u-groove,60,0.5,2.52,1.455,0.685,False
uav_wing,"flat-plate analogy, friction-dominated",12,230524.60789616007,0.65579,blade,80,0.5,3.359,2.315,2.142,False
