application,body,U_inf_mps,Re,u_tau_mps,shape,spacing_um,h_over_s,s_plus,lg_plus,DR_friction_pct,in_band
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,scalloped,20,0.5,0.106,0.058,0.032,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,v-groove,20,0.5,0.106,0.053,0.028,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,u-groove,20,0.5,0.106,0.061,0.029,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,blade,25,0.5,0.132,0.091,0.084,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,scalloped,25,0.5,0.132,0.072,0.04,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,v-groove,25,0.5,0.132,0.066,0.035,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,u-groove,25,0.5,0.132,0.076,0.036,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,blade,30,0.5,0.158,0.109,0.101,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,scalloped,30,0.5,0.158,0.087,0.048,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,v-groove,30,0.5,0.158,0.079,0.042,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,u-groove,30,0.5,0.158,0.091,0.043,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,blade,40,0.5,0.211,0.146,0.135,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,scalloped,40,0.5,0.211,0.116,0.064,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,v-groove,40,0.5,0.211,0.106,0.056,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,u-groove,40,0.5,0.211,0.122,0.057,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,blade,50,0.5,0.264,0.182,0.168,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,scalloped,50,0.5,0.264,0.145,0.08,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,v-groove,50,0.5,0.264,0.132,0.07,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,u-groove,50,0.5,0.264,0.152,0.072,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,blade,75,0.5,0.396,0.273,0.252,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,scalloped,75,0.5,0.396,0.217,0.121,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,v-groove,75,0.5,0.396,0.198,0.105,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,u-groove,75,0.5,0.396,0.229,0.108,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,blade,100,0.5,0.528,0.364,0.337,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,scalloped,100,0.5,0.528,0.289,0.161,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,v-groove,100,0.5,0.528,0.264,0.14,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,u-groove,100,0.5,0.528,0.305,0.143,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,blade,10,0.5,0.058,0.04,0.037,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,scalloped,10,0.5,0.058,0.032,0.018,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,v-groove,10,0.5,0.058,0.029,0.015,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,u-groove,10,0.5,0.058,0.034,0.016,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,blade,15,0.5,0.087,0.06,0.056,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,scalloped,15,0.5,0.087,0.048,0.027,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,v-groove,15,0.5,0.087,0.044,0.023,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,u-groove,15,0.5,0.087,0.05,0.024,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,blade,20,0.5,0.116,0.08,0.074,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,scalloped,20,0.5,0.116,0.064,0.035,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,v-groove,20,0.5,0.116,0.058,0.031,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,u-groove,20,0.5,0.116,0.067,0.032,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,blade,25,0.5,0.145,0.1,0.093,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,scalloped,25,0.5,0.145,0.08,0.044,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,v-groove,25,0.5,0.145,0.073,0.039,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,u-groove,25,0.5,0.145,0.084,0.039,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,blade,30,0.5,0.174,0.12,0.111,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,scalloped,30,0.5,0.174,0.095,0.053,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,v-groove,30,0.5,0.174,0.087,0.046,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,u-groove,30,0.5,0.174,0.101,0.047,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,blade,40,0.5,0.232,0.16,0.148,False
swimwear,water; do not transfer air results directly,2.0,1568314.606741573,0.09073,scalloped,40,0.5,0.232,0.127,0.071,False
